text_clean,text_len,label
"rt <user> : here's how your ""suggestion"" plays out <user> racist: ha, those niggers stopped callin each other nigga the end",123,hate_speech
<user> <user> <user> <user> <user> fellow anarchists quit being vaginas :p like jr high up in this bitch,104,offensive_language
11/19 w/ <user> - the depot 12/19 - a pussyfootin xxxmas (hoe hoe hoe motherfucker santa claws is coming to town),113,offensive_language
<user> do these bitches really love mosa though mosagang <url>,62,offensive_language
rt <user> : killing these bitches go body for body & 128530 ;& 128524 ;& 127911 ;,81,offensive_language
<user> yankees like florida state; not floridians.,50,neither
i have one more day of fucking school. god nansemond is fucking retarded,72,offensive_language
more disability bigotry from the left rt <user> : <user> <user> <user> how can you defend palin and her retards?,112,offensive_language
<user> wtf r u talking about i was in plano tx what r u talking about pussy boy,79,offensive_language
im tired of all these weak ass men in my mentions tellin me why it is ok or justified to punch a woman in the face. that shit is bitch made.,140,offensive_language
"rt <user> : always bro niggas get crazy in any weather rt <user> : "" <user> : this weather is trash"" od,but we gon get c& 8230 ;",128,offensive_language
rt <user> : <user> <user> how much does your wife wet pussy want another dick. big head,87,offensive_language
ogs love too see a yung nicca come up,37,offensive_language
"what america teaches people: if you bitch about something enough, you'll get what you want.",91,offensive_language
fact females that tweet all the dayum day r hoes that need attention ijs wontgetme,82,offensive_language
mimi trash lol,14,neither
i wanna go to the ghetto club tonight.,38,neither
i gotta admit i used tell bitches everything they wanted to hear bighead change my ways a lil bit,97,offensive_language
you're a bitch i hate you,25,offensive_language
<user> <user> we gunna laff at chava/rubio beaner supporters in a min,69,neither
i love living in minnesota. the weather is bad enough for people to bitch about it but we don't have anything serious. stay safe east coast,139,offensive_language
<user> screw the ragheads.,26,hate_speech
looks like a tool but is useful as a clay hammer fag <user> <url>,65,neither
i feel like a bad bitch when i wear my rhinestoned pocket jeans .,65,offensive_language
""" <user> : fuck twerking bitch can you cook ?""",46,offensive_language
stop trying to be down honky <url>,34,offensive_language
"<user> tony drinking sloppily and saying 'what? i cunt hear you, bare ass me again'",83,offensive_language
rt <user> : you other niggas a call up a bitch to fight a bitch naw not me i'm whomp that trick so she can feel where i'm coming from,133,hate_speech
"shit is fucking retarded, no one wants to see this shit",55,offensive_language
<user> @ me bitch. when and where?,34,offensive_language
rt <user> : i love my girlfriend she be shitting on y'all hoes. & 128514 ;& 128175 ;,84,offensive_language
"""i'm a funky ass honkey."" - <user> 's shout out to <user> tonight before ""cabaret"" & 128514 ; jt2020tour",104,offensive_language
"rt <user> : ""rt if u remember when steve from 'blue clues' left us with that other bitch ass nigga joe "" <url>",110,offensive_language
"i will literally never get home, this shit is retarded",54,offensive_language
rt <user> : i hate when bitches twerk to slow songs !!! & 128530 ;& 128074 ;& 128162 ;,86,offensive_language
rt <user> : <user> that's 5 years away from legal drinking age and 14 year old pussy ?? ahaha eat ice cream not pussy bud,121,offensive_language
rt <user> : woke up tryna fuck yo bitch,39,offensive_language
do you think all the rice fags are at mcdonald's?,49,hate_speech
"all yall bitches fake an wanna b's get yall life,",49,offensive_language
me: put a twist tie on the bags of ice or you'll get it all over your car kiersten: nahh bitch it'll be all cool.... <url>,122,offensive_language
rt <user> : <user> bitch shutup,31,offensive_language
"talk of the morning is hoes and rappers , damn yall talk about the same shit everyday",85,offensive_language
<user> safe bruv welcum to twitter my niggur,44,offensive_language
bitch i wouldn't eat yah pussy wit another nigga tongue,55,offensive_language
get two birds stoned at one time.,33,neither
"we bout to be the next chik fil a, lmao. couple of fags said we told them if they didn't like their food to get out. never happened & 128514 ;& 128514 ;& 128514 ;& 128514 ;",172,offensive_language
rt <user> : us ghettos-driven by lib ideology;forged by unions bankrupted by self-serving ds catering 2parasites! tcot <url>,124,offensive_language
whoever mocks the poor insults his maker; he who is glad at calamity will not go unpunished. <url>,98,neither
& 8220 ; <user> : you little stupid ass bitch i ain't fuckin with you & 127925 ;& 8221 ;,88,offensive_language
rt <user> : real bitches (like me) make sure you get some even when they not. lol,81,offensive_language
you you can't get no money silly hoe,36,offensive_language
never trust a hoe,17,offensive_language
rt <user> : 15 y/o me totally understood 'twin peaks'. 40 y/o me can't seem to follow these 'the great outdoors' goldfish crackers & 8230 ;,139,neither
rt <user> : white girls date black guys who hate black culture and they let their stupid ass white girlfriends talk shit and say nig& 8230 ;,140,offensive_language
nah bitch apples apples apples! but bitch nawl cuz oranges oranges oranges! bitch. you dumb as fuck.,100,offensive_language
just got out the gym saw an old black hoe with the coldest body but the hoe had a jerry curl like it was 1978,109,offensive_language
<user> go back to nigeria faggot,32,hate_speech
rt <user> : i hope i made these pot brownies right <url>,56,neither
hey ladies can i ask you a question ? why do yall niggas be so fkn lame ! it be the baddest bitches wit the lamest niggas,121,offensive_language
"rt <user> : lana uses the term ""bad bitch"" in a uv track. i've never been more proud.",85,offensive_language
"fuck ray rice ,someone crack that bitch",39,hate_speech
<user> you're a fucking faggot.,31,hate_speech
<user> beans u beaner?,22,hate_speech
the bitches are back <url>,26,offensive_language
"rt <user> : melo will be a bitch if he leaves, and well lebron is jus a bitch regardless lol",92,offensive_language
i gain a few pounds a bitch look thickkkkkk,43,offensive_language
yankees getting killed,22,neither
define wigga,12,neither
"<user> <user> <user> <user> rather than believe that there was a man who was the very definition of good, u mock it.",116,neither
"rt <user> : have a great day, you lovely fellow apes :) <url>",61,neither
break shit fuck the law....grrrr...fuck that shit...punch that bitch!,69,offensive_language
lmao rt <user> yo a cooned out nigger boy,41,offensive_language
<user> it's got good mojo for sure. paybacks a bitch,52,offensive_language
<user> we niggas like fuckin roaches. let one in and you hot dam infested. you a crazy bitch. i dig yo ass,106,offensive_language
waka bitch bad fr,17,offensive_language
"if that pussy aint organic, preservative free, no growth hormones, fresh, usda approved, i aint fuckin with it.",111,offensive_language
stephan a smith saying jay cutlers shouldn't be a mvp candidate is just straight up retarded,92,neither
rt <user> : pretty bitch is always comin thru & 9786 ;,54,offensive_language
<user> bitch ass nigga rico & 128530 ;,38,offensive_language
never tell a bitch what u up to..,33,offensive_language
<user> its funny and it has that blond bitch on it,50,offensive_language
rt <user> : bitches are so shady... oh my god & 128514 ;& 128514 ; <url>,72,offensive_language
turn a hoe into a house wife you bet not,40,offensive_language
<user> <user> <user> lets not forget the fact that everyone and their mother has yellow fever,93,neither
i remember them bitches lmaoo,29,offensive_language
<user> yeah cum itch my slit baby cakes,39,offensive_language
she think she bad but my bitch meaner,37,offensive_language
rt <user> : when you're approaching your high score in flappy bird and die one pipe away <url>,94,neither
molly's that bitch you love when she comes but hate when she goes..,67,offensive_language
rt <user> : we don't want no skinny bitches get out! we want big booty bitches!,79,offensive_language
ha dat bitch in jail,20,offensive_language
rt <user> : i don't care about bitches. hoes be into it with they damn self& 128553 ;& 128175 ;,95,offensive_language
"rt <user> : nov 22,2012: thanksgiving dinner: 2:00pm: proof on main. a day being preoccupied with a giant bird in your... http:// ...",133,neither
"jenna came for one pair of shoes. took two pair four shirts. ""in case."" her retarded ass is going to work. lol",110,offensive_language
u know that pussy good when it sound like u mixing spaghetti when u hit it lol,78,offensive_language
""" <user> : ya nigs out there still saying y'all don't eat butt?!"" with a straight face!",87,offensive_language
<user> bitch i might be,23,offensive_language
so glad i found a good girl and don't have to deal with these wild ass hoes they have nowadays.. ratchets.,106,offensive_language
cutler less skill at qb than a retarded quadriplegic,52,offensive_language
i hate when bitches only wanna talk to me is when their bf breaks up with them or theyre on break with their bf. no nigga. fuck out my inbox,140,offensive_language
"i'm really not a complete bitch, just socially handicapped & 128587 ;",69,offensive_language
asha had a little voice in my head telling me to fuck with these hoes. wasn't kendra & 128524 ;,95,offensive_language
the bitch coach said she didn't like my attitude.,49,offensive_language
rt <user> : i wear beanies all winter long! so no bandanas till summer& 128525 ;,80,neither
"rt <user> : i come off like a total bitch, but if i like you i will literally do anything for you.",98,offensive_language
call me a fag but i love when people turn their heads or look out of their cars when i drive by cause they head me slumpin. bitches love it,139,offensive_language
"yaaaasss, bitch! rt <user> : in more important news... & 127926 ; <url>",71,offensive_language
rt <user> : u bitches could neva get him to buy all dem snacks. fuk wit me,74,offensive_language
"rt <user> : hoe bang this big | | and she got nerves to think she better then us , bitches have no chill & 128564 ;",115,offensive_language
this bitch ask me why my jeans sag cuz they tryna hold my bandz up & 128176 ;,77,offensive_language
they told me to fuc wit bitches but never trust em they told me they my niggas but i never trust em,99,offensive_language
rt <user> : you was so eager to be a hoe you didn't even read rt <user> : & 8220 ; <user> : twitpic a selfie wearing a leotard& 8221 ; http:/& 8230 ;,149,offensive_language
<user> <user> you sound like a real cunt,40,offensive_language
& 8220 ; <user> : better not have any bitch ass people in my classes tomorrow& 8221 ;,85,offensive_language
rt <user> : & 8220 ; <user> : my tryna make me go to church tommrow .. he'll nawl dude& 8221 ; bitch text me back,113,offensive_language
dat hoe smelt like she was on her period & 128514 ;& 128514 ;& 128514 ;,71,offensive_language
like bitch & 128171 ;,21,offensive_language
can this bitch hurry up... ineedmyeigth,39,offensive_language
<user> this bitch........,25,offensive_language
dawg!! rt <user> : man this about to be another trash thursday night game,73,neither
bitches be half naked in their avi's talking about i don't send nudes,69,offensive_language
""" <user> : wutkinda r purple. ceeeleee""man this gurl was jus playin on the ""stupid hoe "" track. but in still shitted on sum gurls",129,offensive_language
<user> dumb haitian fake black faggots. go to haiti and neck yourself.,70,hate_speech
"if ashton is trash then what does that make me! come on guys someone like ashton can't be trash, he makes too many people smile!!",129,neither
"""julia roberts, you're a ho"" <user> nottinghill",47,offensive_language
rt <user> : females always complaining about some shit niggas ain't doing right ....like bitches don't have flaws,113,offensive_language
<user> you're a bitch,21,offensive_language
rt <user> : i got bitches geekin sneakin cocaina cross the customs - <user>,75,offensive_language
"<user> i think you should reconsider he's a little bitch to the one true god almighty cthulhu...please for your soul, seany.",124,offensive_language
drita is that nicca! lmao,25,neither
& 8220 ; <user> : this weather need to not flag today! we trying to 50 zip a bitch tonight& 8221 ; yessssirrrrr,111,offensive_language
bad foreign bitch she a walkin ferrari,38,offensive_language
"<user> <user> <user> nah, they would probably call you out for being the obsessed faggot you are also. nice try though.",119,offensive_language
<user> <user> so you was in a female dms talking to another nigga... you're a faggot b,86,offensive_language
rt <user> : if you cant pass the asvab you might as well just go full retard,76,offensive_language
bossd up on my old hoes,23,offensive_language
"rt <user> : some bitches be like ""im far from ugly"" naw hoe, you're closer than you think",89,offensive_language
"& 8220 ; <user> : <user> negro, you wear a size 5...i'm in a 12& 8221 ;i'm at a 6 now still growing",99,offensive_language
rt <user> : the niggas who just jumped my brother said that dre was in they hood bitch 131st belongs to us imma going to find you bi& 8230 ;,140,offensive_language
rt <user> : and if you looking for my i'll be on these bitches mind,67,offensive_language
<user> that's what i thought pussy,34,offensive_language
label me a hoe,14,offensive_language
he trash in concert anyways. rt <user> : dude y'all fraud as hell if y'all go to j.cole concert and you don't fw his music.,123,offensive_language
"rt <user> : bitches about to start that ""new year, new me"" bullshit.. you can't undo the numbers on that pussy thoo",115,offensive_language
rt <user> : & 8220 ; <user> : i have no hoes& 8221 ;,52,offensive_language
<user> <user> <user> it's a mutation. genealogy is convoluted. basically the zebra gene currieries are slaughtered=extinction,125,neither
"the streets a dirty hoe, niggad try to wife it though.",54,offensive_language
<user> <user> not dykes or anything& 128111 ;& 128539 ;& 128109 ;,65,offensive_language
"happy birthday to my main bitch, my ride or die, my girlfriend& 128149 ; love you so much <user> <url>",102,offensive_language
"rt <user> : am i the only nigga that fucked a ""virgin"" expecting her to scream. she wasn't even moaning....bitch you not a virgin- fa& 8230 ;",141,offensive_language
rt <user> : never go full retard <url>,38,hate_speech
rt <user> : you hoes getting outta hand <url>,45,offensive_language
i'm busy what i'm tell all hoes who played me to the side .... i'm busy,71,offensive_language
degenerateartist isn't a bitch walks back his words isn't a witch who questions a turd i'm a glitch who evolves your absurd!!!!!!!!!!!,134,offensive_language
"rt <user> : i fucked your bitch , & 128523 ;& 128527 ; how you feel?",68,offensive_language
<user> <user> bitch please i'm a stud,37,offensive_language
it really is too bad that california had faggot marriage forced upon her after her citizens declared it illegal.,112,hate_speech
"if you're gonna be a hoe, then don't look for relationships. you lost that privilege when you decided to be a hoe.",114,offensive_language
joe ripping on a nobel prize winner while hes not their. what a little bitch morningjoe,87,offensive_language
i think all y'all losing y'all niggas cuz the season changed y'all seasonal hoes & 128557 ;,91,offensive_language
"rt <user> : when bae sings ""it ain't nothin to cut that bitch off"" with too much enthusiasm <url>",97,offensive_language
<user> <user> i'll continue dis later. i'll be back bitch.,58,offensive_language
"its brittany, bitch",19,offensive_language
"rt <user> : yall niggas think i just hang around your crib doing nothing, bitch i be getting bread too <url>",108,offensive_language
& 8220 ; <user> : shine on them hoes <url> look at my baby daddy,64,offensive_language
on my way to fuck your bitch <url>,34,offensive_language
rt <user> : fuck that. she better laminate my face. rt <user> : you& 8217 ;re a grown man and think eating pussy is emasculating?,129,offensive_language
<user> <user> real serious in ct! bunch of whiney cunts!,56,offensive_language
<user> <user> i hates to interject but cans i have yo digits? i likes wiggers dat wanna be fucked by coloreds,109,offensive_language
rt <user> : not basic bitches,29,offensive_language
<user> faggot,13,hate_speech
rt <user> : the go-to insult is always to call someone: 1. fat 2. ugly or 3. a hoe,82,offensive_language
i swear bitches is looney i like a pic ... i'm fucking that bitch& 128514 ;& 128514 ;& 128514 ;,95,offensive_language
rt <user> : if my man ain't appreciating me this pussy definitely is gonna end up in another nigga mouth. you can quote me,122,offensive_language
yall live for bitches and blunts. we live for weed and money!!!!!!,66,offensive_language
"rt <user> : i finally realize that these bitches just wanna see me down , wanna see me fall",91,offensive_language
"kobe to dwight: ""you a soft muthafucka, and you a bitch ass nigga!"" lmaooo",74,offensive_language
<user> would help for some others can't handle uppers and cripples them plus if moderation isn't taken into consideration it'll be bad,134,neither
<user> right & 128514 ;& 128557 ; okay bitch,44,offensive_language
<user> go the gulls. first grade should be a cracker. physical!,63,neither
<user> and they bitch cause police showed in force.they were the only thing preventing them from getting turned in2 road kill i70shutdown,137,offensive_language
<user> lmaooo fag,17,offensive_language
<user> cum thru bitch,21,offensive_language
& 8220 ; <user> : imma pull up on you eat on that pussy and dip& 8221 ;,71,offensive_language
""" <user> : <user> <user> y'all come through the front.""bitch i ain't coming",75,offensive_language
pretend assholes callin the women bitches when they know they love em lol..,75,offensive_language
rt <user> : i dnt trust bitches who think they shud b on bad girls club,71,offensive_language
rt <user> : i don't luv deez hoes at all..& 128076 ;,52,offensive_language
love getting nudes from my bitches & 128520 ;& 128520 ;& 128520 ;& 128520 ;& 128520 ;& 128520 ;& 128520 ;,105,offensive_language
rt <user> : jihadi work accident: seven taliban fighters including top commander killed when roadside bombs detonate prematurely& 8230 ; h& 8230 ;,146,neither
<user> you a poop. :( see i'm going all ghetto talk. wtf!,57,offensive_language
"rt <user> : buzzfeed males who live in the city and buy meat under plastic, mock girls who use guns and go hunting. who is more manly?",134,neither
kim kardashian look like a tranny with all that surgery,55,hate_speech
green grass and tree trash. <url>,33,neither
ain't the bitch mimi still wit gay ass nikko????,48,offensive_language
"rt <user> : i think imma patent disposable douche, in ketchup type packages. bitches can be sanitary and discreet. for the hoe on-the& 8230 ;",141,offensive_language
<user> that's enough of making fun of retarded people talking that way,70,offensive_language
<user> hahahhaha he had mad bitches & 128514 ;& 128514 ;& 128514 ;& 128514 ;,76,offensive_language
rt <user> : & 8220 ; <user> : <user> lmfao bitch was i talking to you & 128514 ;& 128514 ;& 8221 ;but i'm talking to you in my bubba voice & 128514 ;& 128514 ;& 128514 ;& 128128 ;,179,offensive_language
honestyhour in middle school hoes used to call me a mandingo warrior,68,offensive_language
this uncle tom mother fucking wants to invoke 3/5 a man in his speech? dude you ain't white no matter how much... <url>,119,offensive_language
rack city bitch !,17,offensive_language
but why did this bitch just follow me...don't even like u <user>,64,offensive_language
"i was accused of never taking a full front face shot, so here is one. no slant or angle or nothing. :) <url>",108,neither
"rt <user> : catch a bitch snitch, my finger itchin on the switch",64,offensive_language
rt <user> : <user> trash eating trash,37,hate_speech
<user> lol toughen up pussy,27,offensive_language
they're calling it sandy because the wind is going to make a lot girls clams really sandy,89,offensive_language
<user> no he's an asshole is like i have neck problems can't sleep that way & 128544 ; u lil bitch,98,offensive_language
rt <user> : texting bitches at 11:12 to make their dreams come true,67,offensive_language
get yo bitch jumped by 6 nigguhs,32,offensive_language
<user> wat a faggot,19,offensive_language
"fat bitches twitter names be "" princesscookieneckbackcrack "" lmaoo & 128514 ;& 128514 ;& 128514 ;",97,offensive_language
<user> youre a fag,18,hate_speech
this bitch need to wake up asap lol,35,offensive_language
<user> <user> no i like pussy why would i be ashamed of that,60,offensive_language
<user> only if its yellow cake chocolate frosting,49,neither
should oscar go to <user> or computer that turned him into an ape? <url> no...the computerscience major movie,109,neither
& 8220 ; <user> : i need more beanies& 8221 ;just ordered two true religion ones lol,84,neither
did la mulatta just refer to herself as a darkie? <user> <user> <user> <user>,77,offensive_language
rt <user> : the sound of wet pussy & 128571 ;& 128166 ;,55,offensive_language
"mr president homeland security, please ignore any foreign threats and focus your sole attention on our police force acab landofthefree",134,neither
bad bitches an good weed,24,offensive_language
rt <user> : <user> bitch where u been,37,offensive_language
quit talking shit you fucking faggot. you're seriously just mad bc no one wants you. who the fuck do you even think you are?,124,offensive_language
who's baby is dat who's da man dat did dat 2 u gator's bitches best be using jimmys,83,offensive_language
i'm bout to hop off this hoe they tryna get on my ass,53,offensive_language
<user> i highly doubt you're a real woman. you're prolly a fat ass man. who fuckin cares?!? let me do me ho,107,offensive_language
rt <user> : i'll be that bitch today,36,offensive_language
thirsty fo da bitches saggin my pants n shit ... shit i paid this much for the belt i betta crack a bitch,105,offensive_language
you are beyond retarded,23,offensive_language
not about to play these games with this bitch,45,offensive_language
"goldiggers wanna marry me, somebody tell them hoes to see therapy.",66,offensive_language
rt <user> : stop gassing up these regular ass bitches,53,offensive_language
& 8220 ; <user> : eat her pussy nd look at her like this & 128540 ;& 128541 ;& 128540 ; <url>,93,offensive_language
these bitches so redundant,26,offensive_language
<user> equality niggah,22,offensive_language
rt <user> : if you like after romeo chances are i think you're a faggot.,72,hate_speech
3 millionaires just walked in why you tripping bitch you paid for the fight ? lmao,82,offensive_language
i just got so hype haha lets go!!!! beat the shit out dat pussy ass niqqa,73,offensive_language
janet jackson's nip slip iconic,31,neither
a nicca still tired from last night ... wtf!!,45,offensive_language
<user> <user> <user> bitch keep talking,39,offensive_language
"trust me, just set the alpha to 0. it's just as good (maybe better) than setting the visibility to false. now: fly on silver bird!",130,neither
couldn't care less about any bitch & 128079 ;,45,offensive_language
"<user> i don't know, i'm hoe-less, so i don't know where they congregate",72,offensive_language
meek mill said get yo game up before you lose yo bitch damn lol,63,offensive_language
rt <user> : & 8220 ; <user> : this bitch <user> ain't got a bit of sense lmaoo!! <url> & 128514 ;& 128514 ;& 128514 ;& 128514 ;& 128553 ;& 128553 ;& 128553 ;,157,offensive_language
rt <user> : if a bitch tries to get crazy tomorrow <url>,56,offensive_language
"rt <user> : element number 35 is bromine and it comes before number 67 ho (holmium). therefore, its bros before hoes.",117,offensive_language
rt <user> : & 8220 ; <user> : lmfao hicks <url>,47,offensive_language
i saved a bird yesterday.,25,neither
rt <user> : if u wife a bitch den she represent u...so dnt wife da wrong bitch,78,offensive_language
"rt <user> : a girl tweeted ""you might be ghetto if u bring food from outside into the movies"" no u might be stupid if u pay 4.99 fo& 8230 ;",139,neither
today has been a bitch!!! i hit myself in the face with a branch!! i lost like 5 pounds of water weight!! and i'm sunburnt !! thank you,135,offensive_language
lol @ that tweet zebra.,23,neither
rt <user> : bitches love miley cyrus and rihanna cuz they speak to every girls inner hoe,88,offensive_language
""" <user> : ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !""",99,offensive_language
"<user> the coon, n coon wanna b got what they should have, except should have been more time in jail",100,offensive_language
<user> <user> i can smell your fried chicken ass a mile away boi and clean your nasty ass ears ratchet bitch,108,offensive_language
best behaved kids ever at mommy's commercial audition. oreo mcflurries for everybody! proudmom & 8230 ; <url>,109,neither
"im allowed to trip on my bitch , she cant trip on me tho",56,offensive_language
rt <user> : i occasionally go to play flappy bird and then i die before getting one and remember how much i hate it.,116,neither
some people are bitch ass niggas you should just stay far away from,67,offensive_language
<user> and stop covering yo goddamn face like the kkk. yo yung silly ass co signing for pussy.,94,offensive_language
senator <user> is an anchor baby! go back from where you came. natural born canadian,84,hate_speech
<user> that should read suck on my bacon encrusted middle finger muslim twats,77,hate_speech
you little dumb ass bitch i dont fuck with you!,47,offensive_language
"<user> <user> look here bitch if i wanted to be gramatically correct, i would have",82,offensive_language
show last night was badass thanks to everyone who came out. if you didn't come out you're a retard. unless you were at cock sparrer,131,offensive_language
if ur girl watch snapped in front of u she trying to spook u!!!,63,neither
<user> take your queer ass dubstep out of here,46,offensive_language
every time my mom calls me it's to bitch at me about something lol,66,offensive_language
"rt <user> : ""you're such a bitch"" <url>",39,offensive_language
"& 128514 ;& 128514 ; niggas sending screenshots of me to they bitches like "" stop texting cuh "" & 128557 ;",106,offensive_language
<user> i thought it was beyond retarded & not scary at all!,59,offensive_language
fuck what you think. i think them bitches produced the fuck outta some shit. telling you i still rock out to the vast majority of no skits,138,offensive_language
rt <user> : & 8220 ; <user> : <user> you're a faggot& 8221 ;you're a texas fan...,81,hate_speech
<user> naw i juss like making you a lil mad & 128514 ; i have been gone for too long tho i hate the boonies& 128589 ;& 128564 ;,127,neither
i can't fuck with you no mo hoe and i'm sorry.,46,offensive_language
<user> <user> no but if you dare i'll slay your ass. you fruity quaffing tranny.,80,offensive_language
"pretty over this whole yankees thing, id rather lose in the alcs every year then live in detroit.. i miss the real steinbrenner glorydays",137,neither
this bitch said she'll do something strange for some change,59,offensive_language
<user> fuck you bitch,21,offensive_language
<user> <user> adawg getcho ghetto booty up,42,offensive_language
<user> they need to stop picking up ufcs trash though and build up there own fighters more.,91,neither
"rt <user> : if you ""hate people so much"" then go morph into a chihuahua since you want to be a little, whiny bitch so badly.",124,offensive_language
rt <user> two stocks to turn trash into cash <url>,50,neither
has anyone ever purchased baseball field dirt? i really want dirt from <user> stadium for my grandfather's grave. weirdtweets,125,neither
"won't catch me sneak dissing, thats fo the birds.",49,neither
between this trend and the vines acting like women its like niggas couldn't wait to be faggots <url>,100,hate_speech
""" <user> : <url> woof woof. sexy thug boy scally.",49,offensive_language
my bitch cold not average. you couldn't fuck my last bitch & 128530 ;& 9995 ;& 128514 ;,87,offensive_language
"rt <user> : <user> thanks for being black, in darth, and now 17 years old you kinky hentai son of a bitch",105,offensive_language
& 8220 ; <user> : it's my birthday!!!!! yesssss!!!!!& 8221 ; obviously nobody cares bitch,89,offensive_language
<user> bitch why did you not fav or retweet this,48,offensive_language
never had i had a problem with a girl in my years of being in school but this otter looking twat better quit giving me looks,124,offensive_language
"rt <user> : perfect vision....me, my niggs, mas hoes, mas clicquot, mas dom p, mas moet, ""my type of party"" blasting out a cali condo",133,offensive_language
<user> yeah wizards! agent zero bitches,39,offensive_language
my niccas was too real fa these streets rip ike free nwax <url>,63,offensive_language
rt <user> : people be like from bae to who are you real quick i be like bitch don't play with me i'll cut you,109,offensive_language
<user> nicca u read what i typed u aint slo by a long shot dont play dumb now litebrite lol,91,offensive_language
& 8220 ; <user> : i dont trust girls& 8221 ; cant trust these hoes,66,offensive_language
ohmygod please don't be a bitch to me today.,44,offensive_language
diets aren't for alcoholics.......a bitch be tipsy quick from eating veggies and shit,85,offensive_language
it's out b day bitches!!!& 128540 ;& 128540 ; <user> <url>,58,offensive_language
"rt <user> : you got bitches, and i don't have niggas & 128514 ; ... i want you.",79,offensive_language
"""if you're a bad bitch put your hands up high"" every girl in the room starts waving there hands around.",103,offensive_language
"""i got a bitch set it off like jada picket..queen latifah you riding round with your nieces bitch you titi""",107,offensive_language
don't let the power of the dollar turn you into a hoe.,54,offensive_language
i like taking niggas hoes but i stop doing that & 9995 ;,56,hate_speech
"rt <user> : ""let me put my kids up in ya mouth bitch. i'ma turn this shit into a foster home.""",94,offensive_language
rt <user> : <user> stupid bitches can't handle the johns,56,offensive_language
<user> meet up then and stop hitching out and back your words up pussy,70,offensive_language
bill cosby stealing pussy,25,offensive_language
' this niggah kevin hart couldn't sit down lmaoooooooooooo my niggah my niggah & 1041204 ;& 1041204 ;& 1041204 ;& 1041204 ;& 1043358 ;& 1043351 ;& 1043323 ;,156,offensive_language
mfw some rachet ass hoe drops some scripture or religious stuff on social media <url>,85,offensive_language
<user> this was my nigga in that bitch man!,43,offensive_language
